mot;theme;score_v2;classe;zipf_books;ratio;categories_wikt;has_lexique;has_wikt;raisons
abattement;Sentiments & Psyché;1.0;Excellent;3.373;13.882;;oui;non;absent des catégories Wiktionnaire
aboulie;Sentiments & Psyché;1.0;Excellent;2.146;10.0;;oui;non;absent des catégories Wiktionnaire
abscons;Philosophie & Idées;1.0;Excellent;2.732;4.5;soutenu;oui;oui;
acrimonie;Esprit & Caractère;1.0;Excellent;2.908;13.5;;oui;non;absent des catégories Wiktionnaire
alacrité;Sentiments & Psyché;1.0;Excellent;2.785;50.0;soutenu;oui;oui;
amphigourique;Art & Langage;1.0;Excellent;2.146;10.0;;oui;non;absent des catégories Wiktionnaire
améthyste;Nature & Cosmos;1.0;Excellent;2.732;27.0;;oui;non;absent des catégories Wiktionnaire
antédiluvien;Temps & Éphémère;1.0;Excellent;2.613;41.0;;oui;non;absent des catégories Wiktionnaire
aphorisme;Art & Langage;1.0;Excellent;2.869;37.0;;oui;non;absent des catégories Wiktionnaire
apophtegme;Art & Langage;1.0;Excellent;2.301;10.0;;oui;non;absent des catégories Wiktionnaire
apostasie;Philosophie & Idées;1.0;Excellent;2.613;41.0;;oui;non;absent des catégories Wiktionnaire
arachnéen;Nature & Cosmos;1.0;Excellent;2.431;10.0;littéraire;oui;oui;
assonance;Art & Langage;1.0;Excellent;2.301;20.0;;oui;non;absent des catégories Wiktionnaire
atone;Sentiments & Psyché;1.0;Excellent;2.869;37.0;;oui;non;absent des catégories Wiktionnaire
atrabilaire;Esprit & Caractère;1.0;Excellent;2.146;10.0;;oui;non;absent des catégories Wiktionnaire
aurore;Lumière & Ombres;1.0;Excellent;3.973;3.12;soutenu;oui;oui;
bilieux;Esprit & Caractère;1.0;Excellent;2.613;10.0;;oui;non;absent des catégories Wiktionnaire
bocage;Nature & Cosmos;1.0;Excellent;3.398;17.857;littéraire+poétique;oui;oui;
cantilène;Art & Langage;1.0;Excellent;2.531;3.091;littéraire;oui;oui;
casuistique;Philosophie & Idées;1.0;Excellent;2.613;41.0;;oui;non;absent des catégories Wiktionnaire
