mot;pertinence;complexite;theme;définition;etymologie;exemple;synonymes
funambule;5;Débutant;Art & Langage;"Acrobate marchant sur un fil de fer tendu ; au figuré, personne qui avance dans un équilibre précaire.";"Du latin ""funis"" (corde) et ""ambulare"" (marcher).";L'artiste de rue captivait les passants par ses pas de funambule.;acrobate, équilibriste
connivence;5;Débutant;Esprit & Caractère;Entente secrète, souvent coupable, faite de complicité tacite ou de complaisance.;"Du latin ""connivere"" (fermer les yeux, cligner de connivence).";Un sourire de connivence s'échangea entre les deux complices.;complicité, entente, collusion, accord
flâneur;5;Débutant;Esprit & Caractère;Personne qui se promène sans but précis, au gré de ses inspirations.;"Du vieux scandinave ""flana"" (errer sans but).";Baudelaire a érigé la figure du flâneur parisien en idéal de poésie moderne.;promeneur, rêveur, badaud
crépuscule;5;Débutant;Lumière & Ombres;Lueur faible et incertaine qui suit le coucher du soleil et précède la nuit.;"Du latin ""crepusculum"" (crépuscule).";Les ombres s'étirent et s'adoucissent à l'heure du crépuscule.;pénombre, tombée du jour, déclin
incandescent;5;Débutant;Lumière & Ombres;"Rendu lumineux et brillant par une chaleur extrême ; ardent.";"Du latin ""incandescere"" (devenir blanc de chaleur).";La lave incandescente s'écoulait doucement le long des flancs du volcan.;ardent, brûlant, lumineux, flamboyant
bucolique;5;Débutant;Nature & Cosmos;Qui évoque la vie des bergers, la nature champêtre et la paix des campagnes.;"Du grec ""boukolos"" (bouvier, gardien de bœufs).";Ils firent une sieste bucolique au bord du ruisseau chantant.;champêtre, pastoral, rustique, idyllique
zéphyr;5;Débutant;Nature & Cosmos;Brise douce, agréable et printanière.;De Zéphyr, divinité grecque personnifiant le vent d'ouest printanier.;Un zéphyr caressait les fleurs blanches du pommier.;brise, vent doux, souffle
chimère;5;Débutant;Philosophie & Idées;"Rêve ou projet séduisant mais irréalisable ; utopie vaine.";"Du grec ""khimaira"" (chèvre, monstre fabuleux).";Poursuivre la fortune absolue est une chimère qui égare les hommes.;illusion, utopie, rêve, mirage
onirique;5;Débutant;Philosophie & Idées;Qui a rapport au rêve ou semble sorti tout droit d'un songe fantastique.;"Du grec ""oneiros"" (rêve).";Le réalisateur a créé une atmosphère onirique particulièrement envoûtante.;rêvé, chimérique, imaginaire, poétique
abnégation;5;Débutant;Sentiments & Psyché;Sacrifice volontaire de soi-même, de son intérêt ou de ses désirs pour autrui ou pour une cause.;"Du latin ""abnegatio"" (action de nier, de refuser).";Faire preuve d'abnégation dans les moments difficiles est la marque des grands esprits.;sacrifice, dévouement, renoncement
idylle;5;Débutant;Sentiments & Psyché;Aventure amoureuse tendre, naïve et poétique dans un cadre champêtre.;"Du grec ""eidyllion"" (petit poème champêtre).";Leur idylle d'été s'acheva doucement avec la rentrée des classes.;amour, romance, bergerie, amourette
mélancolie;5;Débutant;Sentiments & Psyché;"Tristesse douce et rêveuse sans cause bien définie ; propice à la poésie.";"Du grec ""melankholia"" (bile noire, humeur de la tristesse).";L'automne inspire souvent une douce mélancolie au crépuscule.;spleen, nostalgie, tristesse, vague à l'âme
nostalgie;5;Débutant;Sentiments & Psyché;Regret mélancolique d'une époque heureuse disparue ou du pays natal lointain.;"Du grec ""nostos"" (retour) et ""algos"" (douleur, tristesse).";La vieille chanson réveilla en lui une nostalgie poignante de son enfance.;mélancolie, regret, spleen, souvenir
quiétude;5;Débutant;Sentiments & Psyché;État de paix profonde, de sérénité et d'absence totale d'inquiétude.;"Du latin ""quietudo"" (tranquillité, repos).";La quiétude de cette clairière sauvage n'était troublée que par le bourdonnement des abeilles.;sérénité, calme, tranquillité, paix
sérénité;5;Débutant;Sentiments & Psyché;État de calme parfait, de paix morale inaltérable et de clarté d'esprit.;"Du latin ""serenitas"" (clarté du ciel).";Elle abordait la vieillesse avec une sérénité rassurante.;calme, paix, quiétude, placidité
volupté;5;Débutant;Sentiments & Psyché;Plaisir intense et raffiné des sens ou de l'esprit.;"Du latin ""voluptas"" (plaisir).";Écouter Chopin sous la pluie procure une volupté singulière.;plaisir, volupté, délice, sensualité
apogée;5;Débutant;Temps & Éphémère;Le point le plus élevé, le sommet ou le degré suprême de la gloire, de la puissance ou de la beauté.;"Du grec ""apogeios"" (éloigné de la terre).";L'Empire romain était à son apogée sous le règne de Trajan.;sommet, zénith, acmé, summum, point culminant
désuet;5;Débutant;Temps & Éphémère;Qui est sorti de l'usage moderne tout en conservant un charme poétique ou ancien.;"Du latin ""desuetus"" (qui a perdu l'habitude de).";L'utilisation de la plume d'oie a un parfum désuet particulièrement romantique.;obsolète, archaïque, démodé, suranné
inexorable;5;Débutant;Temps & Éphémère;"Que l'on ne peut fléchir par des prières ; fatal et inévitable.";"Du latin ""inexorabilis"" (insensible aux supplications).";Le temps poursuit son cours inexorable sans se soucier des regrets.;fatal, implacable, inévitable, inflexible
éphémère;5;Débutant;Temps & Éphémère;"Qui ne dure qu'un jour, un instant ; d'une existence passagère.";"Du grec ""ephêmeros"" (qui dure un jour).";La beauté des roses est éphémère mais laisse un souvenir impérissable.;fugace, passager, temporaire, évanescent
cantilène;5;Intermédiaire;Art & Langage;Chant, poème ou complainte douce, simple et généralement teintée de tristesse.;"Du latin ""cantilena"" (petite chanson).";Elle fredonnait une cantilène ancienne pour endormir l'enfant.;complainte, romance, mélopée, chanson
faconde;5;Intermédiaire;Art & Langage;Facilité d'élocution abondante, parfois pompeuse ou excessive.;"Du latin ""facundia"" (éloquence facile).";Sa faconde d'orateur parvenait à captiver le public le plus rebelle.;verve, volubilité, éloquence, babil
mélopée;5;Intermédiaire;Art & Langage;Chant, poème ou déclamation monotone, triste et cadencée.;"Du grec ""melopoia"" (création de chants).";La mélopée lointaine des vagues berçait les nuits du gardien de phare.;cantilène, plainte, psalmodie, chant
élégiaque;5;Intermédiaire;Art & Langage;Qui présente un caractère de tristesse mélancolique, de complainte poétique.;"Du grec ""elegeia"" (chant de deuil, élégie).";Ses derniers poèmes ont un ton élégiaque profondément touchant.;mélancolique, plaintif, nostalgique, triste
acrimonie;5;Intermédiaire;Esprit & Caractère;Humeur aigre et agressive qui s'exprime par des paroles acerbes ou blessantes.;"Du latin ""acrimonia"" (aigreur, piquant).";Elle répondit avec une pointe d'acrimonie qu'on ne l'y prendrait plus.;aigreur, amertume, causticité, hargne
magnanime;5;Intermédiaire;Esprit & Caractère;Enclin à pardonner généreusement et à faire preuve de grandeur d'âme.;"Du latin ""magnanimus"" (grand d'âme).";Le vainqueur magnanime épargna la vie des prisonniers rebelles.;généreux, noble, clément, indulgent
mansuétude;5;Intermédiaire;Esprit & Caractère;Douceur de caractère attentive, bienveillante et encline au pardon.;"Du latin ""mansuetudo"" (douceur, apprivoisement).";Il écouta les excuses de son ami avec une grande mansuétude.;clémence, bonté, indulgence, douceur
outrecuidance;5;Intermédiaire;Esprit & Caractère;"Audace présomptueuse issue d'une confiance excessive en soi-même ; orgueil insolent.";"Du vieux français ""cuidier"" (penser, croire) avec préfixe excessif ""outre"".";Il eut l'outrecuidance de contredire le maître devant toute la classe.;orgueil, présomption, arrogance, insolence
parangon;5;Intermédiaire;Esprit & Caractère;Exemple suprême ou modèle de comparaison d'une vertu ou d'une qualité (ex: un parangon de vertu).;"De l'espagnol ""parangon"" (comparaison, modèle).";Cet homme politique est considéré comme le parangon de l'honnêteté.;modèle, idéal, archétype, exemple
turpitude;5;Intermédiaire;Esprit & Caractère;Action ou parole particulièrement basse, ignoble et honteuse.;"Du latin ""turpitudo"" (laideur, honte).";Il s'efforçait de cacher ses turpitudes derrière un masque respectueux.;bassesse, infamie, ignominie, vice
urbanité;5;Intermédiaire;Esprit & Caractère;Politesse raffinée, courtoise et teintée de respect social.;"Du latin ""urbanitas"" (manières polies des citadins de Rome, opposées à la rusticité).";Il reçut ses invités avec une urbanité exquise qui charma tout le monde.;courtoisie, politesse, civilité, affabilité
velléité;5;Intermédiaire;Esprit & Caractère;Intention ou désir timide qui ne se traduit par aucune action concrète.;"Du latin ""velle"" (vouloir).";Il n'avait que des velléités d'écriture, sans jamais terminer un chapitre.;intention, caprice, désir timide
diaphane;5;Intermédiaire;Lumière & Ombres;"Qui laisse passer la lumière sans permettre de distinguer nettement les formes ; translucide.";"Du grec ""diaphanes"" (transparent).";Sa peau diaphane la faisait ressembler à une madone de la Renaissance.;translucide, transparent, cristallin, vaporeux
exsangue;5;Intermédiaire;Lumière & Ombres;"Qui est vidé de son sang ; au figuré, pâle et privé de toute force ou énergie.";"Du latin ""exsanguis"" (sans sang).";Il revint du front de guerre le visage blême et l'esprit exsangue.;blême, épuisé, exténué, pâle
opalin;5;Intermédiaire;Lumière & Ombres;Qui présente l'aspect ou les reflets laiteux et irisés de l'opale.;"Du latin ""opalus"" (opale).";Le ciel opalin du petit matin annonçait une journée de brouillard.;nacré, irisé, laiteux, diaphane
arachnéen;5;Intermédiaire;Nature & Cosmos;D'une finesse, d'une légèreté et d'une transparence comparables à une toile d'araignée.;"Du grec ""arakhnê"" (araignée).";Un voile arachnéen flottait au-dessus de son visage, adoucissant ses traits.;délicat, vaporeux, fin, ténu, aérien
céruléen;5;Intermédiaire;Nature & Cosmos;Qui est d'un bleu azur, clair et limpide comme le ciel ou la mer la plus pure.;"Du latin ""caeruleus"" (bleu sombre, bleu du ciel).";Elle plongea ses yeux dans le regard céruléen de son interlocuteur.;azur, bleu, céleste
effluve;5;Intermédiaire;Nature & Cosmos;Émanation douce, volatile et généralement odorante (ex: effluves de lavande).;"Du latin ""effluvium"" (écoulement).";Les douces effluves du café chaud envahissaient la cuisine au matin.;parfum, odeur, émanation, senteur
ondine;5;Intermédiaire;Nature & Cosmos;Nymphe ou génie des eaux dans la mythologie germanique et nordique.;"Du latin ""unda"" (flot, vague).";L'ondine peignait ses longs cheveux blonds assise sur un rocher humide.;nymphe, sirène, naïade
villégiature;5;Intermédiaire;Nature & Cosmos;Séjour de repos et de détente passé à la campagne, à la mer ou à la montagne.;"De l'italien ""villeggiatura"" (séjour à la villa de campagne).";Ils passaient leurs mois de villégiature dans un chalet des Alpes.;vacances, séjour, repos
éthéré;5;Intermédiaire;Nature & Cosmos;Qui est d'une pureté et d'une légèreté presque céleste, détaché de la matière.;"Du grec ""aither"" (air le plus pur des hauteurs célestes).";Une beauté éthérée se dégageait de ses toiles vaporeuses.;céleste, pur, aérien, impalpable, angélique
infrangible;5;Intermédiaire;Philosophie & Idées;"Qu'on ne peut briser physiquement ou moralement ; indestructible.";"Du latin ""infrangibilis"" (qu'on ne peut rompre).";Un lien infrangible d'amitié unissait les deux compagnons d'armes.;indestructible, incassable, solide, indissoluble
quintessence;5;Intermédiaire;Philosophie & Idées;L'essence la plus pure, concentrée et parfaite d'une substance ou d'une idée.;"Du latin ""quinta essentia"" (la cinquième essence des alchimistes, après les quatre éléments).";Cet opéra est la quintessence du romantisme musical de l'époque.;essence, moelle, cœur, élixir
